perf_var,perf_var,x1,x2,x3,x4,x5,x6,x7,x8,x9
,,,25.6,,,0,0,,,0.9
0,0,0.1,19.2,6,0,0.7145,0,,21.9,7.02
0,0,0,27.2,,0,0,0.07145,,,43.56
0,0,0.1,14.4,6,0,0.7145,0.07145,,21.9,70.38
90,90,0.1,28,6,0,7.143,0.07145,,21.9,5.4
,,0,14.4,2,0,0,1.42855,,7.3,0.54
0,0,0.1,35.2,,0,0,0,,,8.1
0,0,0,7.2,,114,0.7145,0,,,0.18
0,0,0.2,20,,0,2.143,0,,,64.08
0,0,1.3,16,,117,9.2855,0,,,0.18
20,20,1.1,16.8,,282,14.2855,0,,,5.04
0,0,0,16.8,,300,0,0,,,4.32
0,0,0,20,,0,0,0,,,0.72
50,50,0,28,,282,4.2855,0.2143,,,3.42
0,0,0.1,19.2,8,0,0.7145,0.64285,,29.2,1.26
0,0,0.7,28,8,0,6.4285,0,,29.2,7.56
0,0,0,25.6,6,0,5,0.57145,,21.9,2.52
0,0,0.2,24,6,0,2.143,1.7857,,21.9,0.18
0,0,0,16,10,297,0,0.2143,,36.5,0.18
0,0,0,20.8,22,372,1.4285,0.14285,,80.3,0.18
120,120,0.5,20,,324,12.857,1.57145,,,0.18
40,40,1.2,20.8,8,0,12.143,0.35715,,29.2,9.18
0,0,0,24,,0,0,0,,,1.98
,,0,20,,0,0,0.14285,,,11.7
,,0,16.8,6,0,0,0,,21.9,12.42
0,0,0,14.4,8,0,7.857,0,,29.2,0.72
0,0,0.4,23.2,34,120,2.857,0.57145,,124.1,4.32
0,0,0,12.8,,0,0,0,,,1.44
0,0,0,18.4,,0,0,0,,,43.56
0,0,0,20,,111,0,0,,,1.8
0,0,0.1,20,4,120,0.7145,0,,14.6,21.78
50,50,0,20.8,6,114,3.5715,2.85715,,21.9,2.88
0,0,0,12.8,,0,0,0,,,26.1
0,0,0,13.6,,0,1.4285,0,,,2.7
0,0,0,25.6,,0,0,0.14285,,,3.24
0,0,0,16,,0,0,0.07145,,,14.58
0,0,0,18.4,,0,0,0.85715,,,1.08
0,0,0,20.8,,0,0,0.07145,,,0.18
20,20,0.9,20,,0,7.857,9.35715,,,8.1
,,0.1,11.2,,0,0.7145,13.2857,,,137.34
,,0,23.2,8,0,0,0,,29.2,2.52
0,0,0,25.6,,0,0,0,,,12.96
0,0,0,19.2,,117,0,0,,,0.18
